READ1	READ2	READ3	READ4
0	2	2	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	5	42	43
0	0	0	0
0	0	0	0
0	2	3	1
0	0	0	0
0	0	0	0
0	1	0	0
0	0	0	0
17	36	29	13
0	0	0	0
0	1	2	2
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
704	1149	1184	1100
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
109	217	175	182
0	0	0	0
0	0	2	4
0	0	0	0
4	20	14	11
0	0	0	0
0	0	1	0
160	247	179	145
0	0	0	0
0	0	0	0
0	0	0	0
1	0	1	8
0	0	0	0
0	0	0	0
4	14	9	9
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	0	2	2
0	0	0	0
12	15	40	45
0	0	0	0
0	0	0	0
2	0	0	0
1085	1656	1372	1253
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
8	12	18	18
38	67	57	91
0	0	0	0
0	0	0	0
17	10	12	9
0	0	0	0
0	0	0	0
1	1	8	9
1	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
796	1155	1127	909
35	53	39	31
0	0	0	0
0	0	0	0
0	0	0	0
0	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	6	2	1
0	0	0	0
1	1	0	1
0	0	0	0
1	0	5	3
0	0	0	0
0	2	1	0
0	0	0	0
2	1	2	12
0	0	0	0
0	1	0	0
0	0	0	0
426	572	372	362
493	765	571	487
0	0	0	0
1	0	0	2
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
5	4	0	0
1	1	0	0
0	0	0	0
0	0	0	0
158	223	147	116
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	0	0	0
21	32	66	55
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	1	0	2
0	0	0	0
0	0	0	0
0	0	0	0
2181	2830	2646	2233
0	0	0	0
0	0	0	0
20	45	18	13
0	0	0	0
137	219	248	229
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	3	1	4
2	0	0	0
6	4	4	2
3	13	4	9
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
73	115	64	44
0	0	0	0
0	0	0	0
0	0	0	0
44	50	40	43
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	2	0
0	0	0	0
2	6	6	4
0	0	0	0
0	0	0	0
2	6	2	2
0	1	5	2
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
848	1246	979	934
0	0	0	0
0	0	0	0
5	0	2	2
0	0	0	0
0	0	0	0
926	1297	1673	1502
0	0	0	0
0	0	0	0
1	1	2	4
0	0	0	0
13	11	19	19
0	0	0	0
0	0	0	0
0	0	0	0
140	208	174	165
5	9	13	8
0	0	1	0
3	1	4	3
0	0	0	0
0	0	1	2
0	0	0	0
0	0	0	0
0	0	0	0
0	2	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	2
0	0	0	0
0	0	0	0
10	5	10	4
0	0	0	0
0	0	0	0
0	0	0	0
8	18	9	14
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
448	679	624	538
4	7	0	3
0	0	0	0
1	0	2	2
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	2	0	0
0	0	0	0
2	4	3	4
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
127	157	122	87
55	67	34	39
0	0	0	0
6	2	7	4
0	0	0	0
2	3	6	5
0	0	0	0
1	8	5	0
0	0	0	0
0	0	0	0
0	0	0	0
2	1	5	5
49	73	65	73
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2497	3600	3121	2822
0	0	0	2
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	1	0
0	0	1	0
0	0	0	0
1	0	0	0
0	0	0	1
7	19	30	36
0	0	0	0
0	0	0	1
0	0	0	0
0	0	0	0
1	0	0	0
0	0	0	0
0	0	0	0
