logFC	AveExpr	t	P.Value	adj.P.Val	B	gene
6.552775518149	-1.63769644861722	10.1555011166605	2.86438370541105e-08	2.01839130869662e-07	5.45192957295962	ENSG00000258556
6.40037902819195	0.05480782972302	12.1095241492889	2.4747297861612e-09	2.40206019820665e-08	7.11485794202754	ENSG00000081148
6.32222588735721	-1.75413704200304	9.66780948829849	5.58292272166287e-08	3.61716090804815e-07	5.12639241793203	ENSG00000294516
5.93561476236139	-1.578386131222	8.51198723299563	3.00919823079161e-07	1.58940220324786e-06	4.30466895686403	ENSG00000230162
5.59846168440993	-0.504801220742395	9.82192924478886	4.50940841527794e-08	2.990917365551e-07	5.59189207068229	ENSG00000187944
5.55058554459083	-2.927630322663	8.69695687551041	2.27464593680973e-07	1.24782930389864e-06	4.19498065414572	ENSG00000134548
5.21934420481442	-3.09267327212069	7.99522635401989	6.72260806511567e-07	3.24355134351919e-06	3.57684993589325	ENSG00000273118
5.20745469992084	-1.94065589938185	8.14739735492659	5.28756389968541e-07	2.6200030443249e-06	3.92686409458986	ENSG00000010379
4.81065595562167	-2.51247040766993	6.85480690571272	4.47167209541397e-06	1.75016143583694e-05	2.62960576380693	ENSG00000130643
4.75580512391049	-1.74077722726267	7.66472576831311	1.14396916771562e-06	5.20194083768634e-06	3.51042633892551	ENSG00000215529
