ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0016460	myosin II complex	14	0.862636163392362	2.19191456654119	9.10172950026618e-07	2.99974290492418e-05	2.18387784074267e-05	1582	tags=64%, list=9%, signal=59%	ENSG00000092841/ENSG00000100345/ENSG00000133454/ENSG00000196465/ENSG00000144821/ENSG00000215375/ENSG00000101608/ENSG00000196535/ENSG00000118680
CC	GO:0016459	myosin complex	34	0.670877945162723	2.16901457221095	4.23405260878077e-06	0.000115300282045293	8.39411039448593e-05	1582	tags=44%, list=9%, signal=40%	ENSG00000136286/ENSG00000092841/ENSG00000100345/ENSG00000104081/ENSG00000133454/ENSG00000197535/ENSG00000142347/ENSG00000264364/ENSG00000196465/ENSG00000144821/ENSG00000215375/ENSG00000066933/ENSG00000101608/ENSG00000196535/ENSG00000118680
BP	GO:0044088	regulation of vacuole organization	56	0.579723255723478	2.12089817424126	5.3463954322862e-06	0.00014283381433301	0.000103986112115997	1953	tags=41%, list=11%, signal=37%	ENSG00000138760/ENSG00000030582/ENSG00000177169/ENSG00000040633/ENSG00000171100/ENSG00000148158/ENSG00000144118/ENSG00000126581/ENSG00000217128/ENSG00000115020/ENSG00000174903/ENSG00000100330/ENSG00000182718/ENSG00000158828/ENSG00000148356/ENSG00000118873/ENSG00000265808/ENSG00000154803/ENSG00000097033/ENSG00000150867/ENSG00000114520/ENSG00000070540/ENSG00000032742
BP	GO:0002698	negative regulation of immune effector process	85	0.545764544640109	2.11891707471413	7.31891506883408e-07	2.49373468504767e-05	1.81549289121651e-05	3427	tags=41%, list=19%, signal=34%	ENSG00000100097/ENSG00000081237/ENSG00000206503/ENSG00000135046/ENSG00000030582/ENSG00000168961/ENSG00000126561/ENSG00000111679/ENSG00000186716/ENSG00000168918/ENSG00000160685/ENSG00000197471/ENSG00000234745/ENSG00000066294/ENSG00000123338/ENSG00000204592/ENSG00000105329/ENSG00000135870/ENSG00000132356/ENSG00000171150/ENSG00000204520/ENSG00000130202/ENSG00000174564/ENSG00000232810/ENSG00000056586/ENSG00000167193/ENSG00000131507/ENSG00000079385/ENSG00000085063/ENSG00000110848/ENSG00000143507/ENSG00000198925/ENSG00000154188/ENSG00000151422/ENSG00000145868
BP	GO:2000785	regulation of autophagosome assembly	44	0.607956468950161	2.10561931254516	2.53058116561949e-05	0.000509948256031835	0.00037125338122983	2992	tags=48%, list=16%, signal=40%	ENSG00000177169/ENSG00000040633/ENSG00000171100/ENSG00000148158/ENSG00000144118/ENSG00000126581/ENSG00000115020/ENSG00000174903/ENSG00000100330/ENSG00000158828/ENSG00000148356/ENSG00000118873/ENSG00000265808/ENSG00000097033/ENSG00000150867/ENSG00000114520/ENSG00000070540/ENSG00000032742/ENSG00000110046/ENSG00000204371/ENSG00000204308
BP	GO:1903306	negative regulation of regulated secretory pathway	19	0.755678508997359	2.08622234748138	1.92012665364968e-05	0.000406701343490036	0.000296087391486175	1640	tags=47%, list=9%, signal=43%	ENSG00000114353/ENSG00000168961/ENSG00000186716/ENSG00000066294/ENSG00000123338/ENSG00000084093/ENSG00000099625/ENSG00000164885/ENSG00000157764
BP	GO:0071378	cellular response to growth hormone stimulus	19	0.744835947534284	2.0562889912209	3.44235715091656e-05	0.000650910053228271	0.000473876624302836	2431	tags=58%, list=13%, signal=50%	ENSG00000166888/ENSG00000162434/ENSG00000126561/ENSG00000168610/ENSG00000145675/ENSG00000169398/ENSG00000204406/ENSG00000114125/ENSG00000173757/ENSG00000089159/ENSG00000108061
BP	GO:0007229	integrin-mediated signaling pathway	85	0.528974391479549	2.05372972869033	3.41934908627955e-06	9.53228027886549e-05	6.9397066123868e-05	2845	tags=36%, list=16%, signal=31%	ENSG00000196924/ENSG00000159840/ENSG00000100345/ENSG00000115232/ENSG00000102265/ENSG00000044115/ENSG00000150093/ENSG00000166333/ENSG00000137076/ENSG00000187608/ENSG00000120899/ENSG00000134215/ENSG00000139626/ENSG00000149781/ENSG00000160255/ENSG00000082074/ENSG00000141968/ENSG00000138623/ENSG00000196776/ENSG00000122861/ENSG00000136280/ENSG00000169398/ENSG00000151914/ENSG00000132670/ENSG00000135404/ENSG00000137845/ENSG00000079385/ENSG00000139734/ENSG00000033170/ENSG00000084636/ENSG00000143127
BP	GO:0060396	growth hormone receptor signaling pathway	18	0.745399117734994	2.04218896157583	0.000116751326344144	0.00174459132352807	0.00127010028971172	2325	tags=56%, list=13%, signal=48%	ENSG00000166888/ENSG00000162434/ENSG00000126561/ENSG00000168610/ENSG00000145675/ENSG00000169398/ENSG00000204406/ENSG00000114125/ENSG00000173757/ENSG00000089159
CC	GO:0005776	autophagosome	103	0.514002435040809	2.04017734884865	3.18289691038402e-07	1.18777629147823e-05	8.64726879913855e-06	2251	tags=42%, list=12%, signal=37%	ENSG00000123240/ENSG00000164938/ENSG00000130724/ENSG00000205356/ENSG00000005893/ENSG00000104946/ENSG00000177169/ENSG00000139112/ENSG00000255112/ENSG00000089351/ENSG00000197386/ENSG00000184584/ENSG00000106052/ENSG00000085978/ENSG00000165861/ENSG00000023287/ENSG00000126581/ENSG00000163625/ENSG00000104388/ENSG00000078804/ENSG00000167378/ENSG00000118873/ENSG00000266412/ENSG00000137502/ENSG00000167996/ENSG00000006025/ENSG00000097033/ENSG00000140941/ENSG00000101421/ENSG00000083937/ENSG00000176108/ENSG00000159363/ENSG00000150867/ENSG00000215305/ENSG00000170296/ENSG00000070540/ENSG00000151532/ENSG00000161011/ENSG00000126775/ENSG00000087086/ENSG00000089063/ENSG00000147457/ENSG00000258102
