logFC	AveExpr	t	P.Value	adj.P.Val	B	gene
ENSG00000298932	-7.36242788875305	-2.11351875195467	-12.0932202955197	2.30659787210154e-09	2.23409426290922e-08	6.47709891046065	ENSG00000298932
ENSG00000244734	-6.22551175865242	-0.703604944085887	-10.5023456743094	1.67588242762474e-08	1.25432451767055e-07	5.77339488552916	ENSG00000244734
ENSG00000289094	-5.97271795662209	-2.79126391497018	-9.89030537573189	3.82592827352503e-08	2.5713632537037e-07	5.10322119337176	ENSG00000289094
ENSG00000294455	-5.35717447976616	-3.10979593144422	-8.56493548522434	2.62001944833168e-07	1.40176437818334e-06	4.05538794472555	ENSG00000294455
ENSG00000188536	-5.27334842822596	-3.11868361959619	-8.22481152390755	4.43551284586647e-07	2.22632864544043e-06	3.79390066339956	ENSG00000188536
ENSG00000274943	-5.18370921963651	-1.22293932467131	-8.65143279216139	2.29681093314278e-07	1.24943215932183e-06	4.45318651089288	ENSG00000274943
ENSG00000249014	-5.0856028034889	-1.65350382086604	-7.09522674631857	2.83058180610022e-06	1.16043196558247e-05	3.03263603088245	ENSG00000249014
ENSG00000268798	-4.80364022898106	-2.58557104559028	-7.3304578659651	1.89791611147098e-06	8.11288852728484e-06	3.09929122633878	ENSG00000268798
ENSG00000296342	-4.55921699426744	-3.50603655662451	-6.96874057553472	3.5201201423225e-06	1.40928835471092e-05	2.50543355675314	ENSG00000296342
ENSG00000153446	-4.5357441999924	-1.47172251279414	-5.71056218513799	3.46755223224801e-05	0.000108633637053711	1.47523506703013	ENSG00000153446
