ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0016460	myosin II complex	14	0.861793759578533	2.25350121890366	2.42706573313834e-06	7.50793623501085e-05	5.67996131176282e-05	1581	tags=64%, list=9%, signal=59%	ENSG00000100345/ENSG00000092841/ENSG00000133454/ENSG00000196465/ENSG00000144821/ENSG00000215375/ENSG00000101608/ENSG00000196535/ENSG00000118680
CC	GO:0016459	myosin complex	34	0.669138312611494	2.1562103836272	1.62643696800674e-05	0.000376557527473091	0.000284876179119165	1581	tags=44%, list=9%, signal=40%	ENSG00000136286/ENSG00000100345/ENSG00000092841/ENSG00000104081/ENSG00000133454/ENSG00000197535/ENSG00000142347/ENSG00000264364/ENSG00000196465/ENSG00000144821/ENSG00000215375/ENSG00000066933/ENSG00000101608/ENSG00000196535/ENSG00000118680
BP	GO:1903306	negative regulation of regulated secretory pathway	19	0.755530318189338	2.12750035147966	6.09320717296697e-05	0.00110438191705809	0.000835495449874628	1643	tags=47%, list=9%, signal=43%	ENSG00000114353/ENSG00000168961/ENSG00000186716/ENSG00000066294/ENSG00000123338/ENSG00000084093/ENSG00000099625/ENSG00000164885/ENSG00000157764
BP	GO:0002698	negative regulation of immune effector process	85	0.545897545874022	2.11680991396622	7.38046674532287e-07	2.65583836503889e-05	2.00921514135562e-05	3423	tags=41%, list=19%, signal=34%	ENSG00000100097/ENSG00000081237/ENSG00000206503/ENSG00000135046/ENSG00000030582/ENSG00000168961/ENSG00000126561/ENSG00000111679/ENSG00000186716/ENSG00000168918/ENSG00000160685/ENSG00000197471/ENSG00000234745/ENSG00000066294/ENSG00000123338/ENSG00000204592/ENSG00000105329/ENSG00000135870/ENSG00000132356/ENSG00000171150/ENSG00000204520/ENSG00000130202/ENSG00000174564/ENSG00000232810/ENSG00000056586/ENSG00000167193/ENSG00000131507/ENSG00000079385/ENSG00000085063/ENSG00000110848/ENSG00000143507/ENSG00000198925/ENSG00000154188/ENSG00000151422/ENSG00000145868
BP	GO:0044088	regulation of vacuole organization	56	0.579718905989827	2.10159993367338	9.90637026414022e-06	0.000245156594642038	0.000185467740974799	1953	tags=41%, list=11%, signal=37%	ENSG00000138760/ENSG00000030582/ENSG00000177169/ENSG00000040633/ENSG00000171100/ENSG00000148158/ENSG00000144118/ENSG00000126581/ENSG00000217128/ENSG00000115020/ENSG00000174903/ENSG00000100330/ENSG00000182718/ENSG00000158828/ENSG00000148356/ENSG00000118873/ENSG00000265808/ENSG00000154803/ENSG00000097033/ENSG00000150867/ENSG00000114520/ENSG00000070540/ENSG00000032742
BP	GO:0071378	cellular response to growth hormone stimulus	19	0.744961851929334	2.09774057196923	0.000101709232629318	0.00164154512067409	0.00124187426279179	2429	tags=58%, list=13%, signal=50%	ENSG00000166888/ENSG00000162434/ENSG00000126561/ENSG00000168610/ENSG00000145675/ENSG00000169398/ENSG00000204406/ENSG00000114125/ENSG00000173757/ENSG00000089159/ENSG00000108061
CC	GO:0005776	autophagosome	103	0.513937188699877	2.07811357246638	9.16157284851038e-07	3.21475489057432e-05	2.43205094365536e-05	2251	tags=42%, list=12%, signal=37%	ENSG00000123240/ENSG00000164938/ENSG00000130724/ENSG00000205356/ENSG00000005893/ENSG00000104946/ENSG00000177169/ENSG00000139112/ENSG00000255112/ENSG00000089351/ENSG00000197386/ENSG00000184584/ENSG00000106052/ENSG00000085978/ENSG00000165861/ENSG00000023287/ENSG00000126581/ENSG00000163625/ENSG00000104388/ENSG00000078804/ENSG00000167378/ENSG00000118873/ENSG00000266412/ENSG00000137502/ENSG00000167996/ENSG00000006025/ENSG00000097033/ENSG00000140941/ENSG00000101421/ENSG00000083937/ENSG00000176108/ENSG00000159363/ENSG00000150867/ENSG00000215305/ENSG00000170296/ENSG00000070540/ENSG00000151532/ENSG00000161011/ENSG00000126775/ENSG00000087086/ENSG00000089063/ENSG00000147457/ENSG00000258102
BP	GO:0010454	negative regulation of cell fate commitment	11	0.850961154913405	2.07204754522133	5.24119758576763e-05	0.000977940914614262	0.0007398393361809	259	tags=27%, list=1%, signal=27%	ENSG00000171243/ENSG00000100097/ENSG00000126561
BP	GO:2000785	regulation of autophagosome assembly	44	0.607939906206968	2.05555384434839	6.96662682322229e-05	0.00123767302227171	0.000936333855678478	2992	tags=48%, list=16%, signal=40%	ENSG00000177169/ENSG00000040633/ENSG00000171100/ENSG00000148158/ENSG00000144118/ENSG00000126581/ENSG00000115020/ENSG00000174903/ENSG00000100330/ENSG00000158828/ENSG00000148356/ENSG00000118873/ENSG00000265808/ENSG00000097033/ENSG00000150867/ENSG00000114520/ENSG00000070540/ENSG00000032742/ENSG00000110046/ENSG00000204371/ENSG00000204308
BP	GO:0007229	integrin-mediated signaling pathway	85	0.529074576919887	2.05157601113297	2.82532174181227e-06	8.4436416292381e-05	6.38784830920891e-05	2842	tags=36%, list=16%, signal=31%	ENSG00000196924/ENSG00000159840/ENSG00000100345/ENSG00000115232/ENSG00000102265/ENSG00000044115/ENSG00000150093/ENSG00000166333/ENSG00000137076/ENSG00000187608/ENSG00000120899/ENSG00000134215/ENSG00000139626/ENSG00000149781/ENSG00000160255/ENSG00000082074/ENSG00000141968/ENSG00000138623/ENSG00000196776/ENSG00000122861/ENSG00000136280/ENSG00000169398/ENSG00000151914/ENSG00000132670/ENSG00000135404/ENSG00000137845/ENSG00000079385/ENSG00000139734/ENSG00000033170/ENSG00000084636/ENSG00000143127
